chno;chnom;grade;statut;daterecrut;salaire;prime;email;labno_labno;facno_facno
1;nonobstant super atchoum;E;P;2023-12-05;15969.97;23097.15;Esther_Dupuy@yahoo.fr;1;1
2;de façon que;MC;P;2023-12-04;28935.52;26647.86;Althee_Francois85@yahoo.fr;1;1
3;gueuler impromptu;PR;P;2023-12-05;21400.14;2845.67;Marguerite_Guyot@gmail.com;3;3
4;broum rafraîchir du moment que;MA;C;2023-12-05;24417.25;24883.79;Joel.Carre@gmail.com;6;6
5;multiple tellement sus;D;C;2023-12-05;2766.73;8463.89;Oger68@yahoo.fr;5;5
6;même si biathlète;D;C;2023-12-04;20770.62;23985.49;Arnould.Baron@hotmail.fr;5;5
7;spécialiste cyan;A;P;2023-12-05;13786.98;25068.49;Aimable.Gauthier@hotmail.fr;7;7
8;en guise de boucher aux alentours de;E;C;2023-12-05;19150.03;26944.16;Barbe_Dupont73@gmail.com;8;8
9;miaou assez;E;P;2023-12-05;19490.21;14323.94;Arnaude99@hotmail.fr;9;10
10;à moins de plic;D;P;2023-12-04;9923.39;30155.73;Archibald23@gmail.com;10;9
